title,company,location,description,url
Director - Finance Data Science & Analytics,Amex,"Hybrid work in New York, NY",,
"Cybersecurity and Data Privacy Associates (NY, DC, SV) - Junior to Mid level",EachHire,"New York, NY",,
Product Specialist,Simcorp,"Hybrid work in New York, NY",,
"Machine Learning Engineer, Delivery Matching",Uber,"New York, NY",,
"(USA) Senior, Data Scientist (Computer Vision Engineer)",Walmart,"Hoboken, NJ 07030",,
Manager - Data Science,Amex,"Hybrid work in New York, NY",,
"Software Engineer, AI/ML, Learning Platform",Google,"New York, NY (Chelsea area)",,
"Applied Scientist II, Next Gen Developer Experience","Amazon Web Services, Inc. - A97","New York, NY",,
Lead Data Scientist - Technology,City National Bank,"New York, NY 10022 (Midtown area)",,
"Applied Scientist, Automated Reasoning Group","Amazon Development Center U.S., Inc.","Hybrid work in New York, NY",,
Staff Machine Learning Engineer - Recommender Systems,Warner Bros. Discovery,"New York, NY 10012 (Little Italy area)",,
"Sr. Manager, Data Science (MMM)",PayPal,"Hybrid work in New York, NY",,
Senior Manager-Data Science,Amex,"Hybrid work in New York, NY",,
"Lead Data Engineer, Internal Audit",Guardian Life Insurance Company,"Hybrid work in New York, NY",,
Data Scientist,Resilience,"Hybrid work in New York, NY 10010",,
ASE Machine Learning Engineer - Privacy & Foundation Models,Apple,"New York, NY",,
"Director, Data Science",PayPal,"Hybrid work in New York, NY",,
Lead Machine Learning Engineer,Disney Entertainment & ESPN Technology,"New York, NY",,
"Research Assistant-""Statistician Research Assistant""",NYC Health + Hospitals,"New York, NY 10455 (Mott Haven area)",,
Corporate Vice President - Gen AI Lead Data Scientist,New York Life Insurance Co,"Hybrid work in New York, NY",,
Senior Software Engineer - Machine Learning,Celonis SE,"Remote in New York, NY",,
Engagement Manager - Marketing Data Science Lead,Fractal Analytics,"New York, NY",,
AI Engineer Professional,Apollo,"New York, NY",,
"Sr. Specialist Solutions Architect, Database, Financial Services, WWSO GTM Data & AI","Amazon Web Services, Inc.","New York, NY",,
"Staff, Data Scientist: Computer vision",Store No. 8,"Hoboken, NJ 07030",,
"Deep Learning Architect, ProServe GenAI","Amazon Web Services, Inc.","New York, NY",,
Senior Ontologist - Data Management Lab,Bloomberg,"New York, NY 10261",,
"Director, AI Platform Engineering",LSEG (London Stock Exchange Group),"New York, NY",,
"Manager, Data Science - Fraud, Deep Learning",Capital One,"Hybrid work in New York, NY 10011",,
"Senior Product Associate, Artificial Intelligence & Machine Learning",JPMorgan Chase & Co,"Jersey City, NJ 07310 (The Waterfront area)",,
Staff Quality Engineer - Machine Learning,Celonis SE,"New York, NY",,
Applied Research Scientist – Quantum-inspired and Randomized Algorithms - Executive Director,JPMorgan Chase & Co,"New York, NY 10017 (Midtown area)",,
"Staff Software Engineer, Natural Language Processing, Google Assistant",Google,"New York, NY (Chelsea area)",,
"Manager, Machine Learning Engineering",Smarsh,"Hybrid work in New York, NY",,
Principal Machine Learning Engineer,Disney Entertainment & ESPN Technology,"New York, NY",,
"Seed Stage, Human-Computer Interaction / AI Startup: Sr. AI Engineer",StackedSP Inc,"Hybrid work in New York, NY",,
Senior Applied Scientist,Amazon.com Services LLC,"Hybrid work in New York, NY",,
"Product Manager, Data Development Tools",Google,"New York, NY (Chelsea area)",,
"Staff Engineer, AI",Summer Health,"New York, NY",,
"Applied Scientist III, AWS Marketplace","Amazon Web Services, Inc.","Hybrid work in New York, NY",,
"Staff Software Engineer, AI Innovation and Research",Google,"New York, NY (Chelsea area)",,
Director of Data Science and Innovation,FIRE DEPARTMENT,"Brooklyn, NY",,
"Principal Associate, Data Scientist - Card",Capital One,"Hybrid work in New York, NY 10011",,
Applied Scientist,"Amazon Development Center U.S., Inc.","Hybrid work in New York, NY",,
"Senior Machine Learning Engineer, Predict",Alloy,"New York, NY",,
"Seed Stage, AI Cloning Startup: Senior Full-Stack Engineer",StackedSP Inc,"Hybrid work in New York, NY",,
"Principal Engineer, Machine Learning Compute Services, Google Cloud",Google,"New York, NY (Chelsea area)",,
Livepeer Studio: Senior Product Engineer - Video AI Tools,Livepeer,"Brooklyn, NY 11249 (Chelsea area)",,
"Data Engineer, Analytics (Generalist)",Instagram,"New York, NY",,
"Sr. Director/TL , Data Science & AI (TA Lead)",Pfizer,"New York, NY",,
"Senior Deep Learning Architect, GenAI Innovation Center","Amazon Web Services, Inc.","New York, NY",,
"Software Development Engineer - Machine Learning, Amazon Advertising - Sponsored Products",Amazon.com Services LLC,"New York, NY",,
"Senior Generative AI Strategist, Generative AI Innovation Center","Amazon Web Services, Inc.","New York, NY",,
Product Manager - Infrastructure AI,Meta,"New York, NY",,
"Senior Measurement Partner Manager, Measurement, Ad Tech, and Data Science (MADS)",Amazon.com Services LLC,"New York, NY",,
"Principal Product Manager - Technical - Conversion Measurement, Measurement, Ad Tech, and Data Science (MADS)",Amazon.com Services LLC,"New York, NY",,
Senior Director HR Data Governance,Metropolitan Transportation Authority,"New York, NY 10004 (Financial District area)",,
"Director, Marketing Data Science - Product & Technology",Dow Jones,"New York, NY 10176 (Murray Hill area)",,
"Principal Engineer, AI, Trust, Security Site Reliability Engineering",Google,"New York, NY (Chelsea area)",,
AI Strategy & Design - Healthcare Sector - Senior Manager - Consulting - Location OPEN,EY,"New York, NY 10001 (Chelsea area)",,
Sr. Software Engineer *ML/AI,Law360,"New York, NY",,
Engineering Manager - Search AI Platform / SaaS / Pre-IPO Firm,Xcede,"Manhattan, NY",,
Data Management Strategy Director,JPMorgan Chase & Co,"New York, NY 10179 (Midtown area)",,
Lead Machine Learning Engineer,Smarsh,"Hybrid work in New York, NY",,
"Manager, Cyber Data Mining & Project Management","Epiq Systems, Inc.","New York, NY",,
AI - Analytics and Insights - Manager,EY,"New York, NY 10001 (Chelsea area)",,
Senior Data Management Professional - Data Engineering - Company Financials - Healthcare,Bloomberg,"New York, NY 10261",,
AI Product Manager - Executive Director - Machine Learning Center of Excellence,JPMorgan Chase & Co,"New York, NY 10179 (Midtown area)",,
Senior Data Engineer - Artificial Intelligence Group,Bloomberg,"New York, NY 10261",,
Data Science Manager,PayPal,"Hybrid work in New York, NY",,
Research Engineer - Conversational AI - Reality Labs,Meta,"New York, NY",,
"Field Engineering, Generative AI Product Specialist",Databricks,"New York, NY",,
"Data Engineer, Data Science, Google Customer Solutions",Google,"New York, NY (Chelsea area)",,
"Principal Data Scientist, Commercial Banking Data Science",Capital One,"Hybrid work in New York, NY 10011",,
"Supervisor, Actuary",VNS Health,"Remote in Manhattan, NY",,
"Data Science Manager, ML Infra and Experimentation",Meta,"New York, NY",,
"Machine Learning Engineer, 3+ Years of Experience, Generative AI",Snapchat,"Hybrid work in New York, NY",,
"Senior Staff Software Engineer, Machine Learning, Google Assistant",Google,"New York, NY (Chelsea area)",,
Senior LLM Engineer - Artificial Intelligence,Bloomberg,"New York, NY 10261",,
"Sr. Partner Development Specialist, Generative AI & Machine Learning","Amazon Web Services, Inc.","New York, NY",,
Senior Language Modeling Engineer - Artificial Intelligence,Bloomberg,"New York, NY 10261",,
Lead AI Architect,Apollo,"New York, NY",,
Machine Learning Engineer II - Java Experience Required,Warner Bros. Discovery,"New York, NY 10001 (Chelsea area)",,
"Senior Director, AI and ML Operations + Engineering, Data and Technology Transformation | Multiple Locations","FTI Consulting, Inc.","New York, NY",,
Senior Machine Learning Operations Engineer,Sirius XM,"New York, NY 10018 (Garment District area)",,
Senior NLP Research Engineer - Artificial Intelligence,Bloomberg,"New York, NY 10261",,
"Director, Technical Program Management – Machine Learning (Card Tech)",Capital One,"Hybrid work in New York, NY 10011",,
Senior Machine Learning Operations Engineer,Adswizz,"New York, NY",,
Senior ML Ops Engineer - Artificial Intelligence Group,Bloomberg,"New York, NY 10261",,
(Senior / Lead) Applied AI Engineer - Client Consultant,Celonis SE,"New York, NY",,
AI/Machine Learning Engineer - Senior - Consulting - Location OPEN,EY,"New York, NY 10001 (Chelsea area)",,
Senior AI Safety Research Engineer - Artificial Intelligence,Bloomberg,"New York, NY 10261",,
Senior Lead Engineer - Generative AI Infrastructure (Remote-Eligible),Capital One,"Remote in New York, NY 10017",,
AI Engineer (w. Graph DB),Deloitte,"New York, NY",,
